date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:18	1171/1171	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2006:10:17%20GMT	https://bigredhevell.com/robots.txt		(from )
14:10:19	6688/6688	---MCZ	200	added ('OK')	text/html	date:Mon,%2013%20May%202024%2006:10:18%20GMT	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/index9c4b.html	(from )
14:10:19	15086/15086	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%223bdc416dc9ff160ccfefc586cd1049c4%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/favicon.ico	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/favicon.ico	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:19	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:19	3095/3095	---MCZ	200	added ('OK')	text/css	etag:W/%2243145b1f839ee0f847093c07f55ca6bc%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/countdown.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/countdown.css	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:20	2081/2081	---MCZ	200	added ('OK')	text/css	etag:W/%2263750b0239a22dc4d52a6d3da5631bb3%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/animation.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/animation.css	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:20	3865/3865	---MCZ	200	added ('OK')	text/css	etag:W/%22d75ca704c712c1dc03a339561490c631%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/style.css	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:21	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2013%20May%202024%2006:10:20%20GMT	https://rettablewizette.com/d/3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0.js	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/rettablewizette.com/d/3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0.5.delayed	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:22	4315/4315	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20May%202024%2006:10:20%20GMT	https://rettablewizette.com/d/3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0.js?noscript=true&lpurl=	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/rettablewizette.com/d/3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0d349.js	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
14:10:23	400379/400379	---M--	200	added ('OK')	image/png	etag:%22d94a060ae1af8887c1dc1d08f992de20%22	https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/header.png	C:/Users/User/OneDrive/Pictures/DC88/SPINNER/DC88/bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/assets/header.png	(from https://bigredhevell.com/3856-discovering-the-charm-of-historic-architecture/?ad_id=%7B%7Bad.id%7D%7D&adset_id=%7B%7Badset.id%7D%7D&campaign_id=%7B%7Bcampaign.id%7D%7D&ad_name=%7B%7Bad.name%7D%7D&adset_name=%7B%7Badset.name%7D%7D&campaign_name=%7B%7Bcampaign.name%7D%7D&source=%7B%7Bsite_source_name%7D%7D&placement=%7B%7Bplacement%7D%7D&pid=1478805589710653&cpid=3e01b3cb-08f1-4b9e-9604-9faafe7ff2a0&lpid=4eddb962-537d-4e6a-8f5e-6770feb0c968)
